internal_id,official_code,official_code_normalized,province_code,province_name,region_name,region_type,display_name,geometry_source_name,geometry_source_id,alternative_names,autonomous_status,geometry_available,match_status,notes
gb-22746128B53840275251202,32.15,32.15,32,Jawa Barat,Karawang,Kabupaten,Kabupaten Karawang,Karawang,22746128B53840275251202,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B38340908247842,21.01,21.01,21,Kepulauan Riau,Karimun,Kabupaten,Kabupaten Karimun,Karimun,22746128B38340908247842,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B49947212525753,12.11,12.11,12,Sumatera Utara,Karo,Kabupaten,Kabupaten Karo,Karo,22746128B49947212525753,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B40819362853427,62.09,62.09,62,Kalimantan Tengah,Katingan,Kabupaten,Kabupaten Katingan,Katingan,22746128B40819362853427,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B79405855452274,17.04,17.04,17,Bengkulu,Kaur,Kabupaten,Kabupaten Kaur,Kaur,22746128B79405855452274,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B56151469580770,61.11,61.11,61,Kalimantan Barat,Kayong Utara,Kabupaten,Kabupaten Kayong Utara,Kayong Utara,22746128B56151469580770,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B26305825050369,33.05,33.05,33,Jawa Tengah,Kebumen,Kabupaten,Kabupaten Kebumen,Kebumen,22746128B26305825050369,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B82286187836997,,,,,Kediri,Unresolved,Kediri,Kediri,22746128B82286187836997,Kediri | Jawa Timur | 35.06; Kota Kediri | Jawa Timur | 35.71,unresolved,yes,ambiguous_name,Geometry source stores name without province/type; multiple HDX ADM2 rows match. Not auto-assigned.
gb-22746128B17774751253690,94.20,94.20,94,Papua,Keerom,Kabupaten,Kabupaten Keerom,Keerom,22746128B17774751253690,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B21241240008354,33.24,33.24,33,Jawa Tengah,Kendal,Kabupaten,Kabupaten Kendal,Kendal,22746128B21241240008354,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B30869437307727,17.08,17.08,17,Bengkulu,Kepahiang,Kabupaten,Kabupaten Kepahiang,Kepahiang,22746128B30869437307727,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B99951880476592,21.05,21.05,21,Kepulauan Riau,Kepulauan Anambas,Kabupaten,Kabupaten Kepulauan Anambas,Kepulauan Anambas,22746128B99951880476592,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B17511076551422,81.05,81.05,81,Maluku,Kepulauan Aru,Kabupaten,Kabupaten Kepulauan Aru,Kepulauan Aru,22746128B17511076551422,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B86355072671334,13.01,13.01,13,Sumatera Barat,Kepulauan Mentawai,Kabupaten,Kabupaten Kepulauan Mentawai,Kepulauan Mentawai,22746128B86355072671334,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B32802105420608,14.10,14.10,14,Riau,Kepulauan Meranti,Kabupaten,Kabupaten Kepulauan Meranti,Kepulauan Meranti,22746128B32802105420608,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B28296608330436,71.03,71.03,71,Sulawesi Utara,Kepulauan Sangihe,Kabupaten,Kabupaten Kepulauan Sangihe,Kepulauan Sangihe,22746128B28296608330436,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B1615833901652,73.01,73.01,73,Sulawesi Selatan,Kepulauan Selayar,Kabupaten,Kabupaten Kepulauan Selayar,Kepulauan Selayar,22746128B1615833901652,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B63742079715926,31.01,31.01,31,Dki Jakarta,Kepulauan Seribu,Kabupaten,Kabupaten Kepulauan Seribu,Kepulauan Seribu,22746128B63742079715926,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B81791072961966,82.03,82.03,82,Maluku Utara,Kepulauan Sula,Kabupaten,Kabupaten Kepulauan Sula,Kepulauan Sula,22746128B81791072961966,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B45484540858108,71.04,71.04,71,Sulawesi Utara,Kepulauan Talaud,Kabupaten,Kabupaten Kepulauan Talaud,Kepulauan Talaud,22746128B45484540858108,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B96094928872069,94.08,94.08,94,Papua,Kepulauan Yapen,Kabupaten,Kabupaten Kepulauan Yapen,Kepulauan Yapen,22746128B96094928872069,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
gb-22746128B64633952285861,15.01,15.01,15,Jambi,Kerinci,Kabupaten,Kabupaten Kerinci,Kerinci,22746128B64633952285861,,autonomous_or_cod_ab_reference,yes,matched_unique_name,Matched by unique normalized ADM2 name from HDX tabular data.
